No,Nama RS,Provinsi,Kota,Alamat,Telepon
1,RS BALI JIMBARAN,BALI,BADUNG,"Jl. Kampus Unud Ling, Perarudan, Jimbaran, Kuta Selatan",(0361) 4725123
2,RS KHUSUS BEDAH BIMC NUSA DUA BALI  (Hanya Berlaku Sistem Reimbursement),BALI,BADUNG,Blok D Kawasan BTDC Nusa Dua,0361-3000911|
3,OPTIK MELAWAI BEACHWALK BALI,BALI,BADUNG,"Beach Walk Bali Level 2 No. A-6, Jl. Pantai Kuta, Badung, Bali",0361-8464904
4,OPTIK MELAWAI RUKO ULUWATU GWK,BALI,BADUNG,"Jl. Uluwatu No. 6 Ungasan Kec. Kuta Selatan, Kab. Badung",0815 1042 3907
5,BIMC HOSPITAL KUTA (Hanya Berlaku Sistem Reimbursement),BALI,BADUNG,"Jl. By Pass Ngurah Rai No.100X, Kuta",0361-761263|
6,KLINIK KF 0126 - NUSADUA,BALI,BADUNG,Jl. By Pass Ngurah Rai No. 890,0361-778555|
7,KLINIK KF 0082 - KARTIKA PLAZA KUTA,BALI,BADUNG,Jl. Dewi Sartika No. 67,0361-766776|
8,KLINIK KF 0211 - SESETAN,BALI,BADUNG,"Jl. Raya Sesetan No. 143, Badung",0361-265650|
9,SILOAM CLINIC MERTANADI,BALI,BADUNG,"Jl. Merta Nadi No. 4C, Kuta, Kabupaten Badung",0361-4727871|
10,OPTIK TUNGGAL SEMPANA BEACH WALK BALI,BALI,BADUNG,"Jl. Pantai Kuta, Sahid Kuta Lifestyle Resort Lt. 1 No. E-07",0811-8673-817|
11,OPTIK TUNGGAL THE VILLAGE SEMINYAK (TVS),BALI,BADUNG,"Jl. Kayu Jati Kelurahan Basangkasa Seminyak, GF - 8",0361-474 1925||
12,OPTIK TUNGGAL GALERIA BALI (GLB) DENPASAR,BALI,BADUNG,"Jl. Raya by Pass, I Gusti Ngurah Rai Simpang Dewa Ruci Kota Ground Floor 1B - 48 (Area Dome)",0361-767 071||
13,OPTIK TUNGGAL DISCOVERY SHOPPING MALL (KUB),BALI,BADUNG,"Jl. Kartika Plaza Kel. Kuta, Kec. Kuta, GF MG 12B - 12C",0361-769 828||
14,OPTIK TUNGGAL BALI BEACH WALK (BWK),BALI,BADUNG,"Jl. Pantai Kuta - Bali 80361 (Sahid Kuta Lifestyle Resort), Banjar Pangabetan, Kec. Kuta, Badung P",0361-8464 838||
15,KLINIK KF 0236 - TAMAN GRIYA,BALI,BADUNG,Jl. Danau Batur Raya 1-C Taman Griya,0361-7428930
16,RSU GARBA MED KEROBOKAN,BALI,BADUNG,"Jl.  Raya Kerobokan, Lingkungan Jambe No. 52 Kerobokan Kaja, Kuta Utara",0361-9093584 / 9067493||
17,OPTIK MELAWAI DISCOVERY MALL BALI,BALI,BADUNG,"Lt. G No.19A – Jl. Kartika Plaza Kel. Kuta, Kec. Kuta",0815-8532-6737|
18,RSU MURNI TEGUH TUBAN BALI,BALI,BADUNG,"JL. Raya Tuban No. 1A/45, Tuban, Kuta, Kabupaten Badung, Bali",0361-2090700/081138300700|
19,KF BYPASS,BALI,BADUNG,"Jl. By Pass Ngurah Rai No. 74, Kedonganan, Kuta Badung",0361-709154/081139607710||
20,OPTIK MELAWAI RUKO BY PASS KUTA BALI,BALI,BADUNG,"Jl. I Gusti Ngurah Rai No. 28, Lingkungan Jaba Jero, Kel. Kuta, Kec. Kuta, Propinsi Bali",0815-2910-3916
21,OPTIK MELAWAI KIMIA FARMA 157 TUBAN,BALI,BADUNG,"JL.RAYA KUTA, PERTOKOAN KUTA INDAH PERMAI NO.15 XY, KEL TUBAN,KEC KUTA, KAB BADUNG, PROVINSI BALI",0815-1942-0644
22,RSU KERTHA USADA,BALI,BULELENG,Jl. Cendrawasih No.5-7 Singaraja,'0362-26277/8
23,RSU PARAMASIDHI,BALI,BULELENG,Jl. A. Yani No.171 A,'0362-29787. 32701.22426.
24,LAB PRODIA SINGARAJA,BALI,BULELENG,Jl. Ngurah Rai No. 67 D. Singaraja,'0362-24516
25,OPTIK INTERNASIONAL SINGARAJA,BALI,BULELENG,Jl. Sudirman No. 43 Singaraja,0362-24655
26,RS BALIMED BULELENG,BALI,BULELENG,"Jl. Gunung Lempuyang No. 9X Lingkungan Tegal Asatan, Banjar Tegal",0362-3307788||
27,OPTIK MELAWAI RUKO NGURAH RAI SINGARAJA,BALI,BULELENG,"Jl. I Gusti Ngurah Rai No. 78, Kec. Buleleng Kota Singaraja Bali",0815 7458 0882
28,OPTIK TUNGGAL LIVING WORLD DENPASAR,BALI,DENPASAR,"JL.GATOT SUBROTO TIMUR, TONJA LANTAI FIRST FLOOR # 1-22 KEC.DENPASAR UTARA  - KUTA, DENPASAR BALI",081119236974
29,OPTIK TUNGGAL ICON MALL BALI,BALI,DENPASAR,JL.DANAU TAMBLINGAN NO.27 SANUR- UG NO.12 - DENPASAR SELATAN - KOTA DENPASAR BALI,0811 9001 3827
30,AUDY DENTAL CLINIC CABANG BALI,BALI,DENPASAR,"JL. MAHENDRADATTA NO.2A, PADANGSAMBIAN, KEC. DENPASAR BARAT",0811-8801-7273
31,OPTIK MELAWAI BATUBULAN GIANYAR BALI,BALI,DENPASAR,"JL. RAYA BATUBULAN, KEL. BATUBULAN, KEC. SUKAWATI, KAB. GIANYAR, PROVINSI BALI",0815-1989-6310
32,KLINIK QUANTUM SARANA MEDIK,BALI,DENPASAR,Jl.  Raya Sesetan No. 20,0361-228835||
33,RSU KASIH IBU DENPASAR,BALI,DENPASAR,Jl. Teuku Umar. No.120,0361-223036/3003030
34,RS PRIMA MEDIKA,BALI,DENPASAR,Jl. Pulau Serangan 9X,'0361-262535 / 232434
35,RS BHAKTI RAHAYU DENPASAR,BALI,DENPASAR,Jl. Gatot Subroto II No.11,'0361-430270 / 430245 / 428287 / 7420673
36,BALI ROYAL HOSPITAL (BROS),BALI,DENPASAR,Jl. Tantular No.6 Renon,'0361- 247499/222588/228054
37,RS SURYA HUSADHA,BALI,DENPASAR,Jl. Pulau Serangan No.7,'0361-233787
38,RSIA PURI BUNDA,BALI,DENPASAR,Jl. Gatot Subroto VI No.19,'0361-437999
39,RS BALIMED,BALI,DENPASAR,Jl. Mahendradatta No.57X,'0361-484748 / 3117311 / 482281 / 8450771 / 8450772
40,RS PURI RAHARJA,BALI,DENPASAR,Jl.  WR. Supratman  No. 14-19 Denpasar,'0361-222013
41,RS MANUABA,BALI,DENPASAR,Jl.  Hos. Cokroaminoto No. 28,'0361-437143 / 426393
42,RSU SURYA HUSADHA UBUNG,BALI,DENPASAR,"Jl. Cokroaminoto, No. 356 Denpasar",0361-425744|
43,OPTIK MELAWAI GATOT SUBROTO DENPASAR,BALI,DENPASAR,Jl. Gatot Soebroto No. 314,0361-425345
44,OPTIK MELAWAI LEVEL 21 MALL,BALI,DENPASAR,"Level 21, Jl. Teuku Umar No. 23, Dauh Puri Klod, Denpasar, Bali",0361-3021213
45,OPTIK MELAWAI MEGAH DIPONEGORO,BALI,DENPASAR,"Pertokoan Diponegoro Megah, Jl. Diponegoro No. 100, Denpasar, Bali",0361-221972
46,OPTIK MELAWAI TRANS STUDIO BALI,BALI,DENPASAR,"Trans Studio Bali Lt. 1 No. 18, Jl. Imam Bonjol No. 440, Denpasar",0361-6207068
47,OPTIK MELAWAI UDAYANA,BALI,DENPASAR,Komplek Udayana No. 21 B,0361-254282
48,OPTIK SEIS LEVEL 21,BALI,DENPASAR,"Jl. Teuku Umar No. 1, Denpasar, Bali",0361-3003119|
49,OPTIK SEIS MALL BALI GALELRIA,BALI,DENPASAR,"Lantai Dasar Unit No. 1B -49, Jl. Raya By Pass Ngurah Rai Bali",(0361) 752688|
50,OPTIK INTERNASIONAL BALI 4,BALI,DENPASAR,Jl. Diponegoro No. 220,0361-225054
