nama_rumah_sakit,alamat,telp,text
RS BALI JIMBARAN,"Jl. Kampus Unud Ling, Perarudan, Jimbaran, Kuta Selatan",(0361) 4725123,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
RS KHUSUS BEDAH BIMC NUSA DUA BALI  (Hanya Berlaku Sistem Reimbursement),Blok D Kawasan BTDC Nusa Dua,0361-3000911|,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
OPTIK MELAWAI BEACHWALK BALI,"Beach Walk Bali Level 2 No. A-6, Jl. Pantai Kuta, Badung, Bali",0361-8464904,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
OPTIK MELAWAI RUKO ULUWATU GWK,"Jl. Uluwatu No. 6 Ungasan Kec. Kuta Selatan, Kab. Badung",0815 1042 3907,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
BIMC HOSPITAL KUTA (Hanya Berlaku Sistem Reimbursement),"Jl. By Pass Ngurah Rai No.100X, Kuta",0361-761263|,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
KLINIK KF 0126 - NUSADUA,Jl. By Pass Ngurah Rai No. 890,0361-778555|,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
KLINIK KF 0082 - KARTIKA PLAZA KUTA,Jl. Dewi Sartika No. 67,0361-766776|,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
KLINIK KF 0211 - SESETAN,"Jl. Raya Sesetan No. 143, Badung",0361-265650|,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
SILOAM CLINIC MERTANADI,"Jl. Merta Nadi No. 4C, Kuta, Kabupaten Badung",0361-4727871|,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
OPTIK TUNGGAL SEMPANA BEACH WALK BALI,"Jl. Pantai Kuta, Sahid Kuta Lifestyle Resort Lt. 1 No. E-07",0811-8673-817|,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
OPTIK TUNGGAL THE VILLAGE SEMINYAK (TVS),"Jl. Kayu Jati Kelurahan Basangkasa Seminyak, GF - 8",0361-474 1925||,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
OPTIK TUNGGAL GALERIA BALI (GLB) DENPASAR,"Jl. Raya by Pass, I Gusti Ngurah Rai Simpang Dewa Ruci Kota Ground Floor 1B - 48 (Area Dome)",0361-767 071||,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
OPTIK TUNGGAL DISCOVERY SHOPPING MALL (KUB),"Jl. Kartika Plaza Kel. Kuta, Kec. Kuta, GF MG 12B - 12C",0361-769 828||,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
OPTIK TUNGGAL BALI BEACH WALK (BWK),"Jl. Pantai Kuta - Bali 80361 (Sahid Kuta Lifestyle Resort), Banjar Pangabetan, Kec. Kuta, Badung P",0361-8464 838||,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
KLINIK KF 0236 - TAMAN GRIYA,Jl. Danau Batur Raya 1-C Taman Griya,0361-7428930,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
RSU GARBA MED KEROBOKAN,"Jl.  Raya Kerobokan, Lingkungan Jambe No. 52 Kerobokan Kaja, Kuta Utara",0361-9093584 / 9067493||,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
OPTIK MELAWAI DISCOVERY MALL BALI,"Lt. G No.19A – Jl. Kartika Plaza Kel. Kuta, Kec. Kuta",0815-8532-6737|,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
RSU MURNI TEGUH TUBAN BALI,"JL. Raya Tuban No. 1A/45, Tuban, Kuta, Kabupaten Badung, Bali",0361-2090700/081138300700|,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
KF BYPASS,"Jl. By Pass Ngurah Rai No. 74, Kedonganan, Kuta Badung",0361-709154/081139607710||,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
OPTIK MELAWAI RUKO BY PASS KUTA BALI,"Jl. I Gusti Ngurah Rai No. 28, Lingkungan Jaba Jero, Kel. Kuta, Kec. Kuta, Propinsi Bali",0815-2910-3916,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
OPTIK MELAWAI KIMIA FARMA 157 TUBAN,"JL.RAYA KUTA, PERTOKOAN KUTA INDAH PERMAI NO.15 XY, KEL TUBAN,KEC KUTA, KAB BADUNG, PROVINSI BALI",0815-1942-0644,Admedika Corporate | Provinsi: BALI | Kota: BADUNG
RSU KERTHA USADA,Jl. Cendrawasih No.5-7 Singaraja,'0362-26277/8,Admedika Corporate | Provinsi: BALI | Kota: BULELENG
RSU PARAMASIDHI,Jl. A. Yani No.171 A,'0362-29787. 32701.22426.,Admedika Corporate | Provinsi: BALI | Kota: BULELENG
LAB PRODIA SINGARAJA,Jl. Ngurah Rai No. 67 D. Singaraja,'0362-24516,Admedika Corporate | Provinsi: BALI | Kota: BULELENG
OPTIK INTERNASIONAL SINGARAJA,Jl. Sudirman No. 43 Singaraja,0362-24655,Admedika Corporate | Provinsi: BALI | Kota: BULELENG
RS BALIMED BULELENG,"Jl. Gunung Lempuyang No. 9X Lingkungan Tegal Asatan, Banjar Tegal",0362-3307788||,Admedika Corporate | Provinsi: BALI | Kota: BULELENG
