Nama,Alamat,Telepon,Tags
Seis Owndays Agora Thamrin Nine,"Unit Lb1#10-11, Jl Mh Thamrin No.10, Jakarta 10231",021-31118085,", "
,,,", , "
,,,", , "
,,,", , "
24 Jam Permata Bunda Wanajaya (Permata Bunda Group),"Jl. Raya Wanajaya Cibitung, Bekasi",021-88322064/88323062,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Aditya Medical Center,"Jl. Adityawarman I No.14, Kebayoran Baru Jakarta Selatan",021-7203180,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Advent Bandung,Jl. Cihampelas No. 161 Bandung 40131,022-2038004-6,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Advent Lampung,"Jl. Teuku Umar No. 48 Kedaton, Bandar Lampung",0721-703459,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Advent Manado,"Jl. 14 Februari, No.1, Teling Atas",0431-847950/858429,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Advent Medan,"Jl. Gatot Subroto, Km. 4",061-4524875,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Afina Cilegon,"Jl. Rambutan 12, Pagebangan - Cilegon",0254-392568,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Agung,"Jl. Sultan Agung, No.67, Pasar Rumput",021-8294955/8305768/8282795/83794207,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
AIC-Medical Imaging centre,"Kuningan City Mall F1 B-C-D, Jl.Prof Dr Satrio Kav.18 Jakarta Selatan 12940",021-30051801,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Airlangga Jombang,"Jl. Airlangga No 50 C Jelakombo, Jombang",0321-861577,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
AIS Healthcare,"Gedung City Plaza Lt. P9, Jl.Jend Gatot Subroto No.42 Jakarta 12710",021-29241607,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Aisyiyah Bojonegoro,"Jl.  Hasyim Asy’Ari, No.17 Bojonegoro Jawa Timur",0353-881748/881628,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Aisyiyah Samarinda,"Jl. P. Hidayatullah No.64 Pelabuhan, Samarinda Kota, Kalimantan Timur",0541-741961 / 734533,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ajiwaras,"Jl.Cilandak KKO No.45 A, Ragunan, Pasar Minggu, Jakarta Selatan 12550",021-78836308/78835703,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ajiwaras Karang Tengah,"Jl. Karang Tengah Raya No.60 Lebak Bulus Cilandak, Jakarta Selatan 12440",021-75909473,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Al Irsyad Surabaya,Jl. Kh. Mas Mansyur 210-214,031-3531223,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Alea Dental Clinic,"Jl. Cipete Raya No.16 Blok A-7 RT.06/04 Kel.Cipete Selatan , Cilandak Jakarta Selatan",021-75915723,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Alf Subtin,"Jl. Anjuk Ladang No.21 Candirejo, Loceret, Nganjuk – Jawa Timur",0358 - 3510889,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Alfurqon,Jl. Raya Labuan Km 2 Torogong Margasana - Pandeglang,0253-803777,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Al-Huda,"Jl. Diponegoro, No.65, Genteng",0333-842033,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Ali Sibroh Malisi,"Jl. Warung Silah No.1, Cipedak, Jagakarsa Jakarta Selatan",021-7270681,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Alia Hospital Depok (d/h RSIA Bunda Aliyah Depok),Jl. Kartini No.2 Pancoranmas Kota Depok 16431 – Jawa Barat,021 - 77803600,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Alia Hospital Jakarta Timur (d/h RSIA Bunda Aliyah),Jl. Pahlawan Revolusi No.100 Pondok Bambu,021-86602525,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
Al-Islam,Jl.  Awibitung No.29 Cicadas Bandung 40121,022-7208284,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution"
