nama_rumah_sakit,alamat,telp,text
24 Jam Permata Bunda Wanajaya (Permata Bunda Group),"Jl. Raya Wanajaya Cibitung, Bekasi",021-88322064/88323062,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bekasi"
Aditya Medical Center,"Jl. Adityawarman I No.14, Kebayoran Baru Jakarta Selatan",021-7203180,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Kebayoran Baru Jakarta Selatan"
Advent Bandung,Jl. Cihampelas No. 161 Bandung 40131,022-2038004-6,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl. Cihampelas No. 161 Bandung 40131"
Advent Lampung,"Jl. Teuku Umar No. 48 Kedaton, Bandar Lampung",0721-703459,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Bandar Lampung"
Advent Manado,"Jl. 14 Februari, No.1, Teling Atas",0431-847950/858429,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Teling Atas"
Advent Medan,"Jl. Gatot Subroto, Km. 4",061-4524875,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Km. 4"
Afina Cilegon,"Jl. Rambutan 12, Pagebangan - Cilegon",0254-392568,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pagebangan - Cilegon"
Agung,"Jl. Sultan Agung, No.67, Pasar Rumput",021-8294955/8305768/8282795/83794207,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Pasar Rumput"
AIC-Medical Imaging centre,"Kuningan City Mall F1 B-C-D, Jl.Prof Dr Satrio Kav.18 Jakarta Selatan 12940",021-30051801,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Prof Dr Satrio Kav.18 Jakarta Selatan 12940"
Airlangga Jombang,"Jl. Airlangga No 50 C Jelakombo, Jombang",0321-861577,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jombang"
AIS Healthcare,"Gedung City Plaza Lt. P9, Jl.Jend Gatot Subroto No.42 Jakarta 12710",021-29241607,"AXA Mandiri Financial Services, Corporate Solution, Individu Solution | Jl.Jend Gatot Subroto No.42 Jakarta 12710"
