nama_rumah_sakit,alamat,telp,text
RS. KHUSUS BEDAH BIMC NUSA DUA BALI,BLOK D KAWASAN BTDC NUSA DUA,0361-3000911,BALI | BADUNG | rawat inap | rawat jalan | aia
RSU. GARBA MED KEROBOKAN,"JL. RAYA KEROBOKAN, LINGKUNGAN JAMBE NO.5",0361-9093584 / 9067493,BALI | BADUNG | rawat inap | rawat jalan | aia
RSU. MURNI TEGUH TUBAN BALI,"JL. RAYA TUBAN NO.1A/45, TUBAN, KUTA, KABUP",0361-2090700/081138300700,BALI | BADUNG | rawat inap | rawat jalan | aia
RS. BALI JIMBARAN,"JL. KAMPUS UNUD LING. PERARUDAN, JIMBARAN",0361-4725123 / 0821-3897-7403,BALI | BADUNG | rawat inap | rawat jalan | aia
RSU. PARAMASIDHI,JL. A.YANI NO.171A,"0362-29787, 32701,22426",BALI | BULELENG | rawat inap | rawat jalan | aia
RSU. KERTHA USADA,"JL. CENDRAWASIH, NO.5-7, SINGARAJA",0362-26277/8,BALI | BULELENG | rawat inap | rawat jalan | aia
RSU. SURYA HUSADHA UBUNG,"JL. COKROAMINOTO, NO.356, DENPASAR",0361-425744,BALI | DENPASAR | rawat inap | rawat jalan | aia
RS. SURYA HUSADHA,"JL. PULAU SERANGAN,NO.7, DENPASAR",0361-233787,BALI | DENPASAR | rawat inap | rawat jalan | aia
BALI ROYAL HOSPITAL (BROS),JL.  TANTULAR NO 6 RENON DENPASAR,0361- 247499/222588,BALI | DENPASAR | rawat inap | rawat jalan | aia
RS. BHAKTI RAHAYU DENPASAR,"JL. GATOT SUBROTO II, NO.11",0361-430270 / 430245 / 428287 / 7420673,BALI | DENPASAR | rawat inap | rawat jalan | aia
RS. PRIMA MEDIKA,"JL.  PULAU SERANGAN, 9X",0361 - 236225/257445/235318,BALI | DENPASAR | rawat inap | rawat jalan | aia
RSU. KASIH IBU DENPASAR,"JL. TEUKU UMAR, NO.120",0361-223036/3003030/082146806677,BALI | DENPASAR | rawat inap | rawat jalan | aia
RS. MANUABA,"JL.  HOS. COKROAMINOTO, NO.28",0361-426393,BALI | DENPASAR | rawat inap | rawat jalan | aia
RS. PURI RAHARJA,"JL.  WR.SUPRATMAN, NO.14-19, DENPASAR",0361-222013,BALI | DENPASAR | rawat inap | rawat jalan | aia
RS. BALIMED,"JL.  MAHENDRADATTA, NO.57X, DENPASAR","0361-484748, 482281,8450771, 8450772",BALI | DENPASAR | rawat inap | rawat jalan | aia
RSIA. PURI BUNDA,"JL. GATOT SUBROTO VI, NO.19",0361-437999,BALI | DENPASAR | rawat inap | rawat jalan | aia
RS. DHARMA YADNYA,"JL. WR.SUPRATMAN NO. 256, TOHPATI",0361-462488 / 462629,BALI | DENPASAR | rawat inap | rawat jalan | aia
RS. KHUSUS MATA RAMATA,JL. GATOT SUBROTO BARAT NO.429 PADANGSAM,0361-9069009,BALI | DENPASAR | rawat inap | rawat jalan | aia
RSUP SANGLAH DENPASAR,JL. DIPENOGORO,0361-227911 / 227915 / 225482|-|,BALI | DENPASAR | rawat inap | rawat jalan | aia
RS. FAMILI HUSADA,"JL. ASTINA TIMUR, SAMPLANGAN, KEC.GIANYAR,",(0361) 849 3344,BALI | GIANYAR | rawat inap | rawat jalan | aia
RS. KASIH IBU SABA GIANYAR,"JL. RAYA PANTAI SABA NO 9 DESA SABA, GIANYA",0361) 3003333,BALI | GIANYAR | rawat inap | rawat jalan | aia
RS. ARI CANTI GIANYAR,JL.  RAYA MAS UBUD GIANYAR,0361-974573,BALI | GIANYAR | rawat inap | rawat jalan | aia
RSU. PREMAGANA,JL.  HAYANG SANGSI NO.2 PERUM CHANDRA AYU,0361-8461955/ 296389  / 082144049401,BALI | GIANYAR | rawat inap | rawat jalan | aia
RSU. GANESHA,JL.  RAYA CELUK SUKAWATI,0361-298233,BALI | GIANYAR | rawat inap | rawat jalan | aia
RS Kenak Medika,"JL Raya Mas, Br. Batanancak, Desa Mas Kecamata",0361 4791 911,BALI | GIANYAR | rawat inap | rawat jalan | aia
RSU. BUNDA NEGARA,"JL. RAJAWALI NO. 36, PENDEM,",0365-40251 / 087863229569,BALI | JEMBRANA | rawat inap | rawat jalan | aia
RS. BALIMED NEGARA,JL. HAYAM WURUK NO.23 DESA DANGINTUKADA,0365-4501452,BALI | JEMBRANA | rawat inap | rawat jalan | aia
RS. BALIMED KARANGASEM,"JL. NENAS KECICANG BEBANDEM, KARANGASEM,",(0363) 4301618,BALI | KARANGASEM | rawat inap | rawat jalan | aia
