Unnamed: 0,Daftar Jaringan untuk Asuransi Individu; Dalam Negeri; Allianz Flexi Medical; Cashless; Semua Provinsi; Semua Kota;,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Source_File,Daftar Jaringan untuk Asuransi Individu; Dalam Negeri; Allianz Flexi Medical; Reimbursement; Semua Provinsi; Semua Kota;,Daftar Jaringan untuk Asuransi Individu; Dalam Negeri; Allianz Flexi Medical; Diluar Cakupan Pertanggungan/Perlindungan; Semua Provinsi; Semua Kota;
,08-10-2025 07:13 AM,Daftar Rumah Sakit bisa berubah sewaktu-waktu.,,,,,,,,,,,,,,,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
No,Nama Jaringan,Penyedia Layanan,Individu/Kumpulan,Cara Bayar,Lokasi (DN/LN),Negara,Provinsi,Kota,Telp,Alamat,Rawat Inap,Rawat Jalan,Rawat Gigi,Optik,Kategori (RS/Klinik/Lab/Optik),Keterangan,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
1,"AWAL BROS A. YANI, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,RIAU,KOTA PEKANBARU,(0761)21000,"JL JEND A YANI NO 73, PEKANBARU",YA,YA,-,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JUNI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
2,"AWAL BROS BATAM, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,KEPULAUAN RIAU,KOTA BATAM,(0778)431777,"JL. GAJAH MADA KAV. 1, BATAM",YA,YA,-,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JUNI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
3,"AWAL BROS DUMAI, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,RIAU,KOTA DUMAI,(0765)5901888,"JL JEND SUDIRMAN NO 88, DUMAI",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JUNI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
4,"AWAL BROS PANAM, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,RIAU,KOTA PEKANBARU,(0761)586111,"JL. HR. SOEBRANTAS NO.88, PANAM, PEKANBARU",YA,YA,-,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JUNI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
5,"AWAL BROS PEKANBARU, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,RIAU,KOTA PEKANBARU,(0761)47333,"JL. JEND. SUDIRMAN NO.117, PEKANBARU",YA,YA,-,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JUNI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
6,"AWAL BROS UJUNG BATU, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,RIAU,KABUPATEN ROKAN HULU,(0762)7363329,"JL JEND SUDIRMAN NO 314, UJUNG BATU, UJUNG BATU",YA,YA,-,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 JUNI 2025,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
7,"BETHSAIDA, RS",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,BANTEN,KOTA TANGERANG,(021)29309999,"DISTRICT TIVOLI NO 1 PARAMOUNT, JL BOULEVARD GADING SERPONG, TANGERANG",YA,YA,YA,YA,Rumah Sakit,TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 2 SEPTEMBER 2024,daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
8,"BRAWIJAYA ANTASARI, RSIA",Global Excel Indonesia,Individu,Cashless,Dalam Negeri,INDONESIA,DKI JAKARTA,KOTA JAKARTA SELATAN,(021)7211337,"JL TAMAN BRAWIJAYA NO 1, CIPETE UTARA, JAKARTA SELATAN",YA,YA,YA,YA,Rumah Sakit Khusus,"TANGGAL BERGABUNG MENJADI ALLIANZ BLUE EAGLE NETWORK ADALAH 1 AGUSTUS 2025

UNTUK INFO LEBIH JELAS MENGENAI DAFTAR DOKTER UNTUK PENJAMINAN CASHLESS ALLIANZ, DAPAT MENGHUBUNGI ALLIANZ CARE",daftar_Allianz Flexi Medical_10-08-2025.xlsx,,
