nama_rumah_sakit,alamat,telp,text
RS AWAL BROS A. YANI,"JL JEND A YANI NO 73, PEKANBARU",(0761)21000,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik
RS AWAL BROS BATAM,"JL. GAJAH MADA KAV. 1, BATAM",(0778)431777,Global Excel Indonesia | Individu | Cashless | KEPULAUAN RIAU | KOTA BATAM | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | KEPULAUAN RIAU | KOTA BATAM | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | KEPULAUAN RIAU | KOTA BATAM | Rawat_Inap | Rawat_Jalan | - | Optik
RS AWAL BROS DUMAI,"JL JEND SUDIRMAN NO 88, DUMAI",(0765)5901888,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA DUMAI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA DUMAI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA DUMAI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS AWAL BROS PANAM,"JL. HR. SOEBRANTAS NO.88, PANAM, PEKANBARU",(0761)586111,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik
RS AWAL BROS PEKANBARU,"JL. JEND. SUDIRMAN NO.117, PEKANBARU",(0761)47333,Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KOTA PEKANBARU | Rawat_Inap | Rawat_Jalan | - | Optik
RS AWAL BROS UJUNG BATU,"JL JEND SUDIRMAN NO 314, UJUNG BATU, UJUNG BATU",(0762)7363329,Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN ROKAN HULU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN ROKAN HULU | Rawat_Inap | Rawat_Jalan | - | Optik | Global Excel Indonesia | Individu | Cashless | RIAU | KABUPATEN ROKAN HULU | Rawat_Inap | Rawat_Jalan | - | Optik
RS BETHSAIDA,"DISTRICT TIVOLI NO 1 PARAMOUNT, JL BOULEVARD GADING SERPONG, TANGERANG",(021)29309999,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSIA BRAWIJAYA ANTASARI,"JL TAMAN BRAWIJAYA NO 1, CIPETE UTARA, JAKARTA SELATAN",(021)7211337,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS BRAWIJAYA HOSPITAL SAHARJO,"JL. DR SAHARJO NO.199, TEBET, JAKARTA SELATAN",(021)39737890,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA SELATAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS BSH,"JL. RAYA TAJUR NO168 MUARASARI, BOGOR SELATAN, BOGOR",(0251)7556777,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BOGOR | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RSU BUNDA JAKARTA,"JL TEUKU CIK DITIRO NO 21, MENTENG, JAKARTA PUSAT",(021)31923344,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA PUSAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS COLUMBIA ASIA AKSARA,"JL. LETDA SUJONO LK.X NO.90,, BANDAR SELAMAT, MEDAN TEMBUNG, MEDAN",(061)88806888,Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KOTA MEDAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KOTA MEDAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KOTA MEDAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS COLUMBIA ASIA MEDAN,"JL. LISTRIK NO. 2A, MEDAN",(061)4566368,Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KOTA MEDAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KOTA MEDAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | SUMATERA UTARA | KOTA MEDAN | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS EKA HOSPITAL BSD,"CBD LOT.IX, BSD CITY, LENGKONG GUDANG, SERPONG, TANGERANG",(021)25655555,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS EMC ALAM SUTERA (DH OMNI ALAM SUTERA),"JL. ALAM SUTERA BOULEVARD, KAV. 25, SERPONG, TANGERANG",(021)29779999,Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | BANTEN | KOTA TANGERANG | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS EMC CIKARANG (DH OMNI CIKARANG),"THE OASIS KAV NO 1, JL RAYA CIKARANG CIBARUSAH, KAB. BEKASI",(021)29779999,Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | JAWA BARAT | KABUPATEN BEKASI | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
RS EMC GRHA KEDOYA,"JL. PANJANG ARTERI NO. 26, KEDOYA UTARA, JAKARTA BARAT",(021)29910999,Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik | Global Excel Indonesia | Individu | Cashless | DKI JAKARTA | KOTA JAKARTA BARAT | Rawat_Inap | Rawat_Jalan | Rawat_Gigi | Optik
