nama_rumah_sakit,alamat,telp,text
RSIA ABBY,"LANCANG GARAM, BANDA SAKTI, LHOKSEUMAWE CITY, ACEH",0645-6500284,ACEH | KOTA LHOKSEUMAWE | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
BIMC HOSPITALS KUTA,"JL. BYPASS NGURAH RAI NO.100X, KUTA, KABUPATEN BADUNG, BALI 80361",0361-761263 / 3000911,BALI | KABUPATEN BADUNG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
BIMC HOSPITALS NUSA DUA,"KAWASAN ITDC BLOK D, JL. NUSA DUA, BENOA, KABUPATEN BADUNG, BALI 80363",0361-3000 911,BALI | KABUPATEN BADUNG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RSU SURYA HUSADHA NUSA DUA,"JL. SILIGITA BLOK I NO.14, NUSA DUA, KUTA SELATAN, BENOA, KUTA SELATAN, KABUPATEN BADUNG, BALI",0361-775827,BALI | KABUPATEN BADUNG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
SILOAM HOSPITALS DENPASAR,"JL. SUNSET ROAD NO. 818, KUTA, KAB.BADUNG BALI 80361",0361-779900/11,BALI | KABUPATEN BADUNG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS BALIMED BULELENG,"JL. GN. LEMPUYANG NO.9X, BANJAR TEGAL, KEC. BULELENG, KABUPATEN BULELENG, BALI",0362-3307788,BALI | KABUPATEN BULELENG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS ARI CANTI,"JL. RAYA MAS NO.88X, MAS, UBUD, MAS, UBUD, KABUPATEN GIANYAR, BALI",0361-974573,BALI | KABUPATEN GIANYAR | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
KASIH IBU HOSPITAL TABANAN,"JL. FLAMBOYAN NO. 9, KAMPUNG KODOK, DAUH PEKEN, TABANAN, TABANAN REGENCY, BALI",0361-3005757,BALI | KABUPATEN TABANAN | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
KASIH IBU HOSPITAL DENPASAR,"JL. TEUKU UMAR NO. 120, DENPASAR BALI",0361-223036,BALI | KOTA DENPASAR | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
SURYA HUSADHA HOSPITAL,"JL. PULAU SERANGAN NO.7, DAUH PURI KLOD, DENPASAR BARAT, KOTA DENPASAR, BALI","0361-265165 / 0361-
233787",BALI | KOTA DENPASAR | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS KARTINI,"NO.325 BLOK PAPANGGO, PROPINSI, JL. SUNAN KALIJAGA, CIJORO PASIR, RANGKASBITUNG, LEBAK REGENCY, BANTEN","0252-209333 /
5551333",BANTEN | KABUPATEN LEBAK | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
BETHSAIDA HOSPITAL SERANG,"JL. LINGKAR SELATAN KM 1.8. DS, HARJATANI, KEC. KRAMATWATU, KAB. SERANG - BANTEN 42161",0254-5020-999,BANTEN | KABUPATEN SERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA CIRUAS,"JL. RAYA SERANG JAKARTA KM. 09, KAMPUNG RANJENG, CIRUAS, RANJENG, CIRUAS, SERANG, BANTEN",0254-281829,BANTEN | KABUPATEN SERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
CIPUTRA HOSPITAL CITRA RAYA TANGERANG,"JL. CITRA RAYA BOULEVARD BLOK V00 NO.8, MEKAR BAKTI, KEC. PANONGAN, KABUPATEN TANGERANG, BANTEN 15710",021-59405555,BANTEN | KABUPATEN TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
PRIMAYA HOSPITAL PASAR KEMIS,"JL. RAYA PS. KEMIS, RT.004/RW.002, KUTA JAYA, KEC. PS. KEMIS, KABUPATEN TANGERANG, BANTEN 15560",021-59715777,BANTEN | KABUPATEN TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS BETHSAIDA,"JL. BOULEVARD RAYA GADING SERPONG KAV. 29 GADING SERPONG, CURUG SANGERENG, KEC. KLP. DUA, KABUPATEN TANGERANG, BANTEN 15810",021-29309999,BANTEN | KABUPATEN TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS HERMINA BITUNG,"JL. RAYA SERANG KM 10, POS BITUNG, KECAMATAN CURUG, KABUPATEN, KADU, CURUG, TANGERANG, BANTEN",021-59497525,BANTEN | KABUPATEN TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MITRA KELUARGA GADING SERPONG,"JL. RAYA LEGOK, MEDANG, KARAWACI, KAB. TANGGERANG",021-55689111,BANTEN | KABUPATEN TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
SILOAM HOSPITALS KELAPA DUA,"JL. KELAPA DUA RAYA NO.1001, KLP. DUA, KEC. KLP. DUA, TANGERANG, BANTEN",021-80524 900,BANTEN | KABUPATEN TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
SILOAM HOSPITALS LIPPO VILLAGE,"JL. SILOAM NO.6, KARAWACI, BENCONGAN, KELAPA DUA, TANGERANG, BANTEN 15811",021-80646900,BANTEN | KABUPATEN TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
RS MENTARI,"JL. RAYA LEGOK KM 4 KP. BOJONG NANGKA, KEC. KELAPA DUA TANGERANG BANTEN",021-22228000,BANTEN | KABUPATEN TANGERANG | TIDAK DIKENAKAN COPAYMENT | CASHLESS AND REIMBURSMENT | Manulife
