nama_rumah_sakit,alamat,telp,text
RS HERMINA ACEH,"Jalan Sukarno – Hatta Kec.Ingin Jaya, Kab. Aceh Besar
Provinsi Aceh",0651-8072525,ACEH | ACEH BESAR | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RS. PERTAMEDIKA UMMI ROSNATI,"Jl. Sekolah No. 5, Gampoeng Ateuk Pahlawan, Baiturrahman,
Kota Banda Aceh,",0651-35092,ACEH | ACEH UTARA | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
RS. TEUNGKU FAKINAH,JL. JEND. SUDIRMAN NO. 27 - 29,0651-41454,ACEH | BANDA ACEH | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
"LABORATORIUM KLINIK PRODIA
ACEH",Jl. Teuku Daud Beureueh No. 174 F-H,0651-23823,"ACEH | BANDA ACEH | LABORATORIU
M | NO | YES | NO | MCU | MSIG"
"LABORATORIUM KLINIK PRODIA
LHOKSEUMAWE","Jl. Merdeka No. 18 Lhokseumawe, Banda Aceh, Sumatra","0645-
42705/42653","ACEH | BANDA ACEH | LABORATORIU
M | YES | YES | NO | CORPORATE | MCU | MSIG"
KLINIK SPESIALIS CEMPAKA LIMA,JL. THM DAUD BEUREU NO. 156 BANDA ACEH,"0651-
33345/7111789",ACEH | BANDA ACEH | CLINIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK MELAWAI HERMES PALACE
MALL",GF ZONA B UNIT 12 & 15,0855 1837 306,ACEH | BANDA ACEH | OPTIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK MELAWAI RUKO PANGLIMA
POLEM ACEH","JL. T . PANGLIMA POLEM NO.139, PEUNAYONG, BANDA
ACEH",'081519278835,ACEH | BANDA ACEH | OPTIC | YES | NO | NO | CORPORATE | MSIG
OPTIK SEIS SUZUYA MALL,"Jl. Teuku Umar,Lamteumen, Kota Banda Aceh",0651)-8084385,ACEH | BANDA ACEH | OPTIC | YES | NO | NO | CORPORATE | MSIG
KLINIK PRODIA BANDA ACEH,Jl. Tengku Moh. Daud Beureuh No. 174 F-H Banda Aceh,0651-22387,ACEH | BANDA ACEH | CLINIC | YES | NO | NO | CORPORATE | MSIG
OPTIK MELAWAI RUKO BATOH ACEH,"JL. DR. MR. TEUKU H MOEHAMMAD HASAN ( BATOH ) NO. 7-8 KEL. LAMDOM, KEC. LUENG BATA, BANDA ACEH, PROVINSI
ACEH",0815 1944 5088,ACEH | BANDA ACEH | OPTIC | YES | NO | NO | CORPORATE | MSIG
RSIA. ABBY,"Jl. Tgk. Chik Ditiro No. 28 Lancang Garam Kecamatan Banda
Sakti Kota Lhokseumawe 24351",02645-6500284,ACEH | LHOKSEUMAWE | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
OPTIK MELAWAI RUKO LHOKSEUMAWE ACEH,"JL. MERDEKA NO. 5-6, KEL. SIMPANG EMPAT, KEC. BANDA SAKTI, KOTA LHOKSEUMAWE PROVINSI ACEH",0815 2910 5559,ACEH | LHOKSEUMAWE | OPTIC | YES | NO | NO | CORPORATE | MSIG
APOTEK KIMIA FARMA 397,JL. PERDAGANGAN 1 SIGLI,0653-21536,ACEH | PIDIE | APOTEK | YES | NO | NO | CORPORATE | MSIG
"OPTIK SEIS OWNDAYS BALI
GALERIA 2","FIRST FLOOR NO.CL EXT.02, JL BY PASS NGURAH RAI, KUTA
BADUNG BALI 80361",0361-752688,BALI | BADUNG | OPTIC | YES | NO | NO | CORPORATE | MSIG
RS. KASIH IBU KEDONGANAN,"JL. ULU WATU NO. 69A , KEDONGANAN",0361-703270,BALI | BADUNG | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
BIMC HOSPITAL NUSA DUA,"JL. BY PASS NGURAH RAI NUSA DUA NO. 2-4 KUTA BADUNG-
BALI 80363",0361-3000911,BALI | BADUNG | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
"LABORATORIUM KLINIK PRODIA
MAJALAYA",JL BABAKAN NO 60 MAJALAYA 40382,2325954724,"BALI | BADUNG | LABORATORIU
M | YES | YES | NO | CORPORATE | MCU | MSIG"
"LABORATORIUM KLINIK PRODIA
PASIRKALIKU",JL PASIRKALIKU NO 225 BANDUNG,2322034685,"BALI | BADUNG | LABORATORIU
M | YES | YES | NO | CORPORATE | MCU | MSIG"
OPTIK TUNGGAL BALI BEACH WALK,"JL.PANTAI KUTA-BALI.80361 (SAHID KUTA LIFESTYLE
RESORT) BANJAR PANGABETAN,KECAMATAN KUTA –
KABUPATEN BADUNG,BALI",0811-8109-501,BALI | BADUNG | OPTIC | YES | NO | NO | CORPORATE | MSIG
OPTIK TUNGGAL GALERIA BALI,"JL.RAYA BAY PASS, I.GUSTI NGURAH RAI SIMPANG DEWA
RUCI KOTA,",0811-8109-499,BALI | BADUNG | OPTIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK TUNGGAL DISCOVERY
SHOPPING MAL","JL. KARTIKA PLAZA KEL.KUTA – KEC.KUTA, KAB BADUNG",0811-8109-498,BALI | BADUNG | OPTIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK TUNGGAL THE VILLAGE
SEMINYAK",JL. KAYU JATI KELURAHAN BASANGKASA SEMINYAK,0811-8673-815,BALI | BADUNG | OPTIC | YES | NO | NO | CORPORATE | MSIG
"TAKENOKO MEDICAL CARE -
TAKENOKO BALI","Jl. Sunset Road No. 77 A, Ruko No. 1 Kuta, Kec. Kuta,
Kabupaten Badung, Bali",0361-4727288,BALI | BADUNG | CLINIC | YES | NO | NO | CORPORATE | MSIG
RS MURNI TEGUH TUBAN BALI,"Jl. Raya Tuban No. 1A /45, Tuban, Kec Kuta, Kab Badung,
Provinsi Bali 80361",0361-2090700,BALI | BADUNG | HOSPITAL | YES | YES | YES | CORPORATE | MCU | INDIVIDU | MSIG
"OPTIK MELAWAI DISCOVERY MALL
BALI",LT G NO.19A - JL KARTIKA PLAZA KEC. KUTA KAB. BADUNG,0815 8532 6737,BALI | BADUNG | OPTIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK MELAWAI KIMIA FARMA 157
TUBAN","JL RAYA KUTA PERTOKOAN KUTA INDAH PERMAI NO15 XY
KEL TUBANKEC KUTA KAB BADUNG",81519420644,BALI | BADUNG | OPTIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK MELAWAI RUKO BY PASS
KUTA BALI","JL I GUSTI NGURAH RAI NO28 LINGKUNGAN JABA JERO
KELURAHAN KUT, KECAMATAN KUTA",81529103916,BALI | BADUNG | OPTIC | YES | NO | NO | CORPORATE | MSIG
"OPTIK MELAWAI RUKO ULUWATU
GWK","JL. ULUWATU NO 6 UNGASAN KEC. KUTA SELATAN KAB.
BADUNG",81510423907,BALI | BADUNG | OPTIC | YES | NO | NO | CORPORATE | MSIG
RSU. KERTHA USADA,JL. CENDRAWASIH No. 5-7 SINGARAJA,"0362-
26277/26278",BALI | BULELENG | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
RSU. PARAMA SIDHI,Jl. AHMAD YANI NO.171A BAKTISERAGA SINGARAJA - BALI,0362-32701,BALI | BULELENG | HOSPITAL | YES | NO | YES | CORPORATE | INDIVIDU | MSIG
"LABORATORIUM KLINIK PRODIA
SINGARAJA","Jl. Ngurah Rai No. 67 Blok D, Singaraja",0362-24516,"BALI | BULELENG | LABORATORIU
M | YES | YES | NO | CORPORATE | MCU | MSIG"
