nama_rumah_sakit,alamat,telp,text
RS 3 M Plus,"Jl. Lingkar II No.11-13 RT.003 RW.002, Tembilahan Kota, Kec. Tembilahan
Kabupaten Indragiri Hilir Riau
Indonesia", ,Reimbursement | Riau | Kabupaten Indragiri Hilir | Tanggal Bergabung PRUPriority Hospital Reimbursement: 20 Feb 2024 | Reimbursement | Riau | Kabupaten Indragiri Hilir | Tanggal Bergabung PRUPriority Hospital Reimbursement: 20 Feb 2024 | prudential | prudential
RSIA Abby Lhokseumawe,"Jl. Tgk. Chik Di Tiro No. 28, Lancang Gara, Kec. Banda Sakti, Lhokseumawe, Aceh
Kota Lhokseumawe
Nanggroe Aceh Darussalam (NAD) Indonesia", ,Reimbursement | Nanggroe Aceh Darussalam (NAD) | Kota Lhokseumawe | Tanggal Bergabung PRUPriority Hospital Reimbursement: 20 Feb 2024 | Reimbursement | Nanggroe Aceh Darussalam (NAD) | Kota Lhokseumawe | Tanggal Bergabung PRUPriority Hospital Reimbursement: 20 Feb 2024 | prudential | prudential
RS Abdi Waluyo,"Jl. H.O.S Cokroaminoto No. 31-33 Menteng Kota Jakarta Pusat
DKI Jakarta Indonesia 10350",213144989,"Cashless - Tanpa Persetujuan Akhir | DKI Jakarta | Kota Jakarta Pusat | 1. Rawat Inap
2. Rawat Jalan (Post Rawat Inap, Kecelakaan, Hemodialisa, Kemotherapy dan One Day Surgery)
3. Pre-Admission | Cashless - Tanpa Persetujuan Akhir | DKI Jakarta | Kota Jakarta Pusat | 1. Rawat Inap
2. Rawat Jalan (Post Rawat Inap, Kecelakaan, Hemodialisa, Kemotherapy dan One Day Surgery)
3. Pre-Admission | prudential | prudential"
RSUD Abdul Moeleoek,"Jl. Dr. Rivai No.6, Penengahan, Kec. Tj. Karang Pusat Kota Bekasi
Jawa Barat Indonesia 35112",721703312,Reimbursement | Jawa Barat | Kota Bekasi | Reimbursement | Jawa Barat | Kota Bekasi | prudential | prudential
RS Adella,"Jl. Professor M. Yamin No. 77, Kudaile, Slawi, Perum Pepabri, Kudaile, Slawi, Tegal
Kabupaten Tegal Jawa Tengah
Indonesia", ,Reimbursement | Jawa Tengah | Kabupaten Tegal | Tanggal Bergabung PRUPriority Hospital Reimbursement: 29 Mar 2025 | Reimbursement | Jawa Tengah | Kabupaten Tegal | Tanggal Bergabung PRUPriority Hospital Reimbursement: 29 Mar 2025 | prudential | prudential
RS Adi Husada Kapasari,"Jl. Kapasari No. 97-101 Kota Surabaya
Jawa Timur
Indonesia", ,Reimbursement | Jawa Timur | Kota Surabaya | Tanggal Bergabung PRUPriority Hospital Reimbursement: 29 Mar 2025 | Reimbursement | Jawa Timur | Kota Surabaya | Tanggal Bergabung PRUPriority Hospital Reimbursement: 29 Mar 2025 | prudential | prudential
RS Adi Husada Undaan Wetan,"Jl. Undaan Wetan No. 40-44 Kota Surabaya
Jawa Timur Indonesia 60272",315321256,"Cashless - Tanpa Persetujuan Akhir | Jawa Timur | Kota Surabaya | 1. Rawat Inap
2. Rawat Jalan (Post Rawat Inap, Kecelakaan, Hemodialisa, Kemotherapy dan One Day Surgery)
3. Pre-Admission | Cashless - Tanpa Persetujuan Akhir | Jawa Timur | Kota Surabaya | 1. Rawat Inap
2. Rawat Jalan (Post Rawat Inap, Kecelakaan, Hemodialisa, Kemotherapy dan One Day Surgery)
3. Pre-Admission | prudential | prudential"
RS Advent Bandar Lampung,"Jl. Teuku Umar No. 48 Kota Bandar Lampung Lampung
Indonesia 35148",721703459,"Cashless - Dengan Persetujuan Akhir | Lampung | Kota Bandar Lampung | 1. Rawat Inap
2. Rawat Jalan (Post Rawat Inap, Kecelakaan, dan One Day Surgery)
3. Pre-Admission | Cashless - Dengan Persetujuan Akhir | Lampung | Kota Bandar Lampung | 1. Rawat Inap
2. Rawat Jalan (Post Rawat Inap, Kecelakaan, dan One Day Surgery)
3. Pre-Admission | prudential | prudential"
RS Advent Bandung,"Jl. Cihampelas No.161, Cipaganti, Kecamatan Coblong Kota Bandung
Jawa Barat Indonesia 40131",2220343869,"Cashless - Dengan Persetujuan Akhir | Jawa Barat | Kota Bandung | 1. Rawat Inap
2. Rawat Jalan (Post Rawat Inap, Kecelakaan, dan One Day Surgery)
3. Pre-Admission | Cashless - Dengan Persetujuan Akhir | Jawa Barat | Kota Bandung | 1. Rawat Inap
2. Rawat Jalan (Post Rawat Inap, Kecelakaan, dan One Day Surgery)
3. Pre-Admission | prudential | prudential"
RS Advent Medan,"Jl. Gatot Subroto Km 4, Sei Sikambing D, Medan Petisah Kota Medan
Sumatera Utara
Indonesia", ,Reimbursement | Sumatera Utara | Kota Medan | Tanggal Bergabung PRUPriority Hospital Reimbursement: 29 Mar 2025 | Reimbursement | Sumatera Utara | Kota Medan | Tanggal Bergabung PRUPriority Hospital Reimbursement: 29 Mar 2025 | prudential | prudential
