nama_rumah_sakit,alamat,telp,text
KLINIK CEMPAKA LIMA MEULABOH,JL. SWADAYA NO 39 F/39 G MEULABOH,"082361103699/08116822077/081269
80242",ACEH BARAT | rawat jalan | Sompo
"OPTIK
INTERNASIONAL MEULABOH","JL. NASIONAL NO.23 LK.II
SEULANGA KEL. DRIAN RAMPAK KEC. JOHAN PAHLAWAN",0655-7551018,ACEH BARAT | rawat jalan | Sompo
APOTEK KF MEULABOH,"JL. GAJAH MADA NO.63, DRIEN RAMPAK, JOHAN PAHLAWAN",0655-7112141/ 08116786278,ACEH BARAT | rawat jalan | Sompo
APOTEK KF DRIEN RAMPAK,JL. NASIONAL DRIEN RAMPAK,082368539289,ACEH BARAT | rawat jalan | Sompo
APOTEK KF KEUTAPANG,"JL. MATA LE, KEUTAPANG - BANDA ACEH, DARUL IMARAH,
DESA LAMBHEU",0651-8084404/ 082316455738,ACEH BESAR | rawat jalan | Sompo
TIRTANA MEDICAL CLINIC,"AJEUN, PEUKAN BADA, KAB.ACEH BESAR",0651-8083570 / 081248567312,ACEH BESAR | rawat jalan | Sompo
BAKRI MEDICAL CENTER,"JL. CUT NYAK DHIEN KM.9 NO.1
GP BEURADEUN KEC. PEUKAN BADA",0813-6000-0122,ACEH BESAR | rawat jalan | Sompo
APOTEK KF TAPAKTUAN,"JL. MERDEKA NO. 50, TAPAKTUAN, ACEH SELATAN",0656-2310677,ACEH SELATAN | rawat jalan | Sompo
"KLINIK
KF.TAPAKTUAN","JL. MERDEKA NO. 50, TAPAKTUAN",0656-2310677,ACEH SELATAN | rawat jalan | Sompo
RS PERTAMINA RANTAU,"JL. CEPU NO.1 KOMPLEK PERTAMINA KEC. RANTAU, KAB. ACEH TAMIANG",0641-350185,ACEH TAMIANG | rawat inap | rawat jalan | Sompo
"OPTIK
INTERNASIONAL TAKENGON",JL.SENGEDA TAKENGON ACEH TENGAH,0643-2625245,ACEH TENGAH | rawat jalan | Sompo
APOTEK KF TAKENGON,JL. LEBE KADER,081376893680,ACEH TENGAH | rawat jalan | Sompo
"OPTIK
INTERNASIONAL KUTACANE","JL. A. YANI NO. 23 G (SAMPING RS NURUL HASANAH)
PULOKEMIRI KUTACANE ACEH TENGGARA",0629-2527029,ACEH TENGGARA | rawat jalan | Sompo
RS GRAHA BUNDA,"JL. MEDAN - BANDA ACEH, BUKIT PALA, IDI RAYEUK ACEH TIMUR",0646-21221 / 085261189417,ACEH TIMUR | rawat inap | rawat jalan | Sompo
RS PRIMA INTI MEDIKA,"JL. GINGGALANG NO.01 KOMPLEK PERUMAHAN PT. PIM, KRUENG GEUKUEH",0645-845766,ACEH UTARA | rawat inap | rawat jalan | Sompo
APOTEK KF JAMBU AIR,"JL. RAYA BUKITTINGGI PADANG
KAB. AGAM, TALUAK IV SUKU, BANUHAMPU, AGAM",0752-8100029,AGAM | rawat jalan | Sompo
RSIA RIZKI BUNDA,"JL. GAJAH MADA N0 435 A
LANSANO NAGARI, KEC. LUBUK BASUNG",0752-8701112,AGAM | rawat inap | rawat jalan | Sompo
OLTI OPTIKAL,"JLN.TUJUH SUKU PASAR
PADANG BARU LUBUK BASUNG KAB.AGAM  SUMBAR",0813-6321-6415,AGAM | rawat jalan | Sompo
GAIA DENTAL CLINIC BUKITTINGGI,"JL. RAYA KAPAS PANJI, TALUAK
AMPEK SUKU, KEC. BANUHAMPU, KAB. AGAM,
SUMATERA BARAT",0812-1200-9877,AGAM | rawat jalan | Sompo
RS BHAKTI RAHAYU AMBON,"JL.  BATU KERBAU, BELAKANG RRI",0911-342746,AMBON | rawat inap | rawat jalan | Sompo
KLINIK PRODIA AMBON,JL. ANTHONY RHEBOK NO.1 B-C,0911-348071,AMBON | rawat jalan | Sompo
"APOTEK KF PEL.26 AMBON,MALUKU","JL.  DR. KAYADOE, KEL. KUDAMATI, AMBON-MALUKU(DI DALAM RS.  HALAUSSY)",0911-351677,AMBON | rawat jalan | Sompo
